State,Child Population,numDup,rateDup,numUnq,rateUnq
Alabama,"1,123,537","9,247",8.2,,
Alaska,"182,218","3,138",17.2,,
Arizona,"1,669,866","4,025",2.4,,
Arkansas,"700,537","9,847",14.1,,
California,"9,383,924","88,319",9.4,,
Colorado,"1,192,679","10,588",8.9,,
Connecticut,"820,216","9,875",12,,
Delaware,"205,646","2,116",10.3,,
District of Columbia,"113,720","2,757",24.2,,
Florida,"4,043,560","53,484",13.2,,
Georgia,"2,531,609","35,729",14.1,,
Hawaii,"285,694","2,075",7.3,,
Idaho,"407,712","1,582",3.9,,
Illinois,"3,199,159","31,058",9.7,,
Indiana,"1,586,518","18,380",11.6,,
Iowa,"711,403","14,051",19.8,,
Kansas,"696,082","2,272",3.3,,
Kentucky,"1,003,973","18,778",18.7,,
Louisiana,"1,079,560","9,468",8.8,,
Maine,"279,467","4,118",14.7,,
Maryland,,,,,
Massachusetts,"1,432,856","37,690",26.3,,
Michigan,,,,,
Minnesota,"1,260,282","6,847",5.4,,
Mississippi,"768,704","7,002",9.1,,
Missouri,"1,424,830","7,235",5.1,,
Montana,"219,498","1,886",8.6,,
Nebraska,"446,145","4,108",9.2,,
Nevada,"660,002","5,417",8.2,,
New Hampshire,"298,186",912,3.1,,
New Jersey,"2,063,789","7,543",3.7,,
New Mexico,"500,276","6,065",12.1,,
New York,"4,413,414","83,502",18.9,,
North Carolina,"2,217,680","25,976",11.7,,
North Dakota,"142,809","1,288",9,,
Ohio,"2,751,874","38,484",14,,
Oklahoma,"899,507","13,179",14.7,,
Oregon,"862,908","11,552",13.4,,
Pennsylvania,"2,786,719","4,177",1.5,,
Puerto Rico,"1,002,944","10,696",10.7,,
Rhode Island,"233,115","3,857",16.5,,
South Carolina,"1,059,917","12,762",12,,
South Dakota,"196,890","1,485",7.5,,
Tennessee,"1,471,486","16,059",10.9,,
Texas,"6,623,366","71,111",10.7,,
Utah,"816,822","13,611",16.7,,
Vermont,"131,353",872,6.6,,
Virginia,"1,826,179","6,413",3.5,,
Washington,"1,536,368","6,984",4.5,,
West Virginia,"387,381","7,109",18.4,,
Wisconsin,"1,321,279","7,856",5.9,,
Wyoming,"125,365",772,6.2,,
